API1,API2
select,bandNames
ee.Geometry.Polygon,clip
Image.toArray,Image.reduceRegion
Array.slice,ee.Image
Array.eigen,Array.slice
Reducer.mean,Image.reduceRegion
filterBounds,filter
Image.toArray,Image.matrixMultiply
Dictionary.get,Array
Image.toArray,Image.toArray
Reducer.centeredCovariance,Image.reduceRegion
Array,Array.eigen
ImageCollection.mosaic,Image.clip
Image.matrixMultiply,Image.arrayProject
ee.Filter.lt,filter
Image.reduceRegion,Dictionary.toImage
Image.reduceRegion,Dictionary.get
Image.select,Image.reduceRegion
Dictionary.toImage,Image.subtract
ee.ImageCollection,filter
Image.subtract,Image.toArray
ee.Image,Image.matrixMultiply
Image.clip,Image.select
Image.arrayProject,Image.arrayFlatten
filter,ImageCollection.mosaic
